iter	Passed	Remaining
0	97	97173
1	99	49564
2	100	33430
3	101	25350
4	103	20554
5	104	17351
6	106	15053
7	107	13302
8	108	11944
9	109	10885
10	111	10046
11	112	9301
12	114	8662
13	115	8141
14	117	7684
15	118	7268
16	119	6899
17	120	6571
18	121	6283
19	122	6018
20	124	5784
21	125	5576
22	126	5383
23	128	5206
24	129	5039
25	130	4884
26	131	4739
27	132	4602
28	133	4479
29	135	4365
30	136	4255
31	137	4157
32	139	4102
33	141	4023
34	142	3938
35	144	3863
36	145	3796
37	147	3732
38	148	3663
39	149	3596
40	151	3533
41	152	3480
42	154	3428
43	155	3373
44	156	3317
45	157	3267
46	158	3216
47	159	3168
48	160	3121
49	162	3081
50	163	3043
51	164	3002
52	165	2962
53	167	2925
54	168	2892
55	169	2858
56	170	2823
57	171	2789
58	172	2757
59	173	2724
60	175	2693
61	176	2663
62	177	2635
63	178	2607
64	179	2579
65	180	2553
66	181	2530
67	183	2510
68	184	2487
69	185	2464
70	186	2444
71	187	2421
72	188	2399
73	190	2378
74	191	2356
75	192	2336
76	193	2316
77	194	2296
78	195	2277
79	196	2260
80	197	2243
81	199	2228
82	199	2205
83	200	2189
84	201	2172
85	202	2156
86	203	2140
87	205	2124
88	206	2110
89	207	2095
90	208	2080
91	209	2066
92	210	2052
93	211	2040
94	212	2027
95	213	2014
96	215	2002
97	216	1989
98	217	1976
99	218	1964
100	219	1952
101	220	1940
102	221	1928
103	222	1916
104	223	1905
105	224	1894
106	225	1884
107	226	1873
108	227	1863
109	229	1853
110	230	1843
111	231	1835
112	232	1826
113	233	1816
114	234	1807
115	235	1798
116	236	1787
117	237	1778
118	238	1769
119	239	1759
120	241	1752
121	242	1742
122	243	1734
123	244	1726
124	245	1717
125	246	1709
126	247	1700
127	248	1692
128	249	1684
129	250	1676
130	251	1668
131	252	1661
132	253	1653
133	254	1646
134	256	1640
135	257	1633
136	258	1626
137	259	1619
138	260	1612
139	261	1605
140	262	1598
141	263	1590
142	264	1583
143	265	1576
144	266	1570
145	267	1563
146	268	1557
147	269	1552
148	270	1547
149	272	1541
150	273	1535
151	274	1529
152	275	1523
153	276	1517
154	277	1511
155	278	1506
156	279	1500
157	280	1495
158	281	1489
159	282	1484
160	283	1477
161	284	1472
162	285	1467
163	287	1463
164	288	1458
165	289	1453
166	290	1448
167	291	1443
168	292	1438
169	293	1433
170	294	1428
171	295	1424
172	297	1420
173	298	1415
174	299	1410
175	300	1407
176	301	1402
177	302	1398
178	303	1393
179	304	1388
180	305	1384
181	307	1379
182	308	1375
183	309	1370
184	310	1366
185	311	1361
186	312	1357
187	313	1353
188	314	1349
189	315	1345
190	316	1341
191	317	1337
192	318	1333
193	319	1329
